# map 519
method,step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ESSIM-DE,1,0.889649,0.889649,0.0725436,0.890119,0.109074,0.89726,0.865568,0.724704,0.849073,0.880143,0.886441,0.889744,0.74752,0.897084,0.91331,0.898964,0.802357,0.890026,0.89726,0.888312,0.89726,0.506427,0.865267,0.649863,0.890026,0.888312,0.865149,0.894288,0.890878,0.797457606896552
ESSIM-DE,2,0.932773,0.800559,0.927783,0.931469,0.931469,0.909757,0.929563,0.914237,0.932773,0.932773,0.932773,0.932773,0.931469,0.929201,0.926416,0.926255,0.932773,0.932773,0.927473,0.927473,0.907641,0.514481,0.932773,0.384081,0.932773,0.932773,0.0496503,0.922038,0.459441,0.844075389655172
ESSIM-DE,3,0.431144,0.431144,0.435449,0.431144,0.431144,0.472963,0.435449,0.435449,0.435449,0.431144,0.431144,0.435449,0.431144,0.431144,0.448446,0.431144,0.431144,0.431144,0.431144,0.435449,0.478908,0.448799,0.435449,0.464572,0.435449,0.431144,0.453743,0.451271,0.448799,0.439860862068965
ESSIM-EA,1,0.771268810832042,0.539999219295167,0.52566732915031,0.7186174608887,0.708825631931471,0.90644184007952,0.906323769923188,0.905469342599437,0.906723707237354,0.917081946041422,0.903568950092184,0.86452377931878,0.963881634427744,0.964271249775021,0.921209075482847,0.854539,0.928000517844342,0.935020257136634,0.948787495676085,0.926200004844669,0.926893117578498,0.91680875517069,0.89735066679382,0.929694416557666,0.918099892029333,0.527188664306453,0.92607011394124,0.985476065245126,0.76516942955496,0.827014718314266
ESSIM-EA,2,0.92990202770256,0.923976058872279,0.899968153969286,0.868096355247039,0.896905086016268,0.955895881420509,0.688924546372764,0.906290435009939,0.89741114601801,0.880902555891204,0.904803493239988,0.955969639156406,0.899179897914239,0.92741890781327,0.897907044025701,0.873422920740099,0.901792676344263,0.861659466797043,0.8683474523099,0.934964670052687,0.935413529308532,0.531771392668693,0.710839740837914,0.930354860395853,0.4794176464,0.94432447674679,0.780046425546098,0.792771742060183,0.591951025754805,0.739716745367678
ESSIM-EA,3,0.905405726098398,0.904543446567364,0.895645107937734,0.891997902079865,0.824013662232632,0.918031181145841,0.63924966832342,0.907888287712681,0.639653772606012,0.84817752284832,0.847499675131685,0.830903661313172,0.905865754436485,0.701691291244207,0.575553004148638,0.603836339200694,0.685483490411289,0.6794981693241,0.853864428744014,0.846484958566089,0.909400800235486,0.771723836189534,0.527464688199503,0.835600623659085,0.58714614951741,0.757258872938761,0.632821770849605,0.432325946001771,0.803564135127375,0.908561127208826
ESS,1,0.577550,0.549485,0.625667,0.631862,0.308826,0.306442,0.102063,0.520547,0.520672,0.521708,0.720357,0.364524,0.263882,0.264271,0.221209,0.3751,0.228001,0.382350,0.824879,0.226200,0.226893,0.216809,0.397351,0.229694,0.218100,0.227189,0.226070,0.285476,0.365169,0.327015
ESS,2,0.437638,0.224384,0.291721,0.352541,0.238719,0.279495,0.187114,0.517459,0.612759,0.684825,0.298682,0.798613,0.635930,0.687234,0.766613,0.729229,0.378338,0.682409,0.014771,0.877941,0.095983,0.110112,0.681013,0.975302,0.685582,0.788631,0.707017,0.912533,0.197085,0.352036
ESS,3,0.894794,0.891188,0.754245,0.847664,0.894079,0.896273,0.933042,0.802348,0.855112,0.854275,0.811516,0.885842,0.843564,0.696561,0.892674,0.791755,0.979299,0.903433,0.810576,0.814229,0.222857,0.713324,0.620114,0.515586,0.819799,0.227956,0.942561,0.508818,0.854406,0.837925
ESS-NS,1,0.896552,0.896996,0.904762,0.89673,0.875112,0.882254,0.888312,0.884843,0.894198,0.888312,0.896907,0.883997,0.885496,0.905464,0.849454,0.897084,0.885593,0.877897,0.889838,0.893745,0.89726,0.896996,0.845426,0.869674,0.9,0.890771,0.890119,0.896853,0.885496,0.897172
ESS-NS,2,0.881827,0.911274,0.893097,0.908829,0.910732,0.922244,0.926854,0.923909,0.931469,0.924848,0.900761,0.927044,0.927044,0.924222,0.902697,0.89962,0.914237,0.911031,0.926416,0.912187,0.907943,0.925161,0.924692,0.904498,0.925161,0.918266,0.924848,0.919246,0.931469,0.931469
ESS-NS,3,0.811821,0.702869,0.789747,0.80527,0.75206,0.793846,0.796487,0.74966,0.831665,0.795932,0.77038,0.782011,0.822275,0.797075,0.827889,0.803408,0.757432,0.698903,0.684932,0.764259,0.701102,0.792826,0.774685,0.796197,0.83322,0.805003,0.68599,0.777336,0.764589,0.785169
